Day fraction since midnight on 	photometer (V)	photometer (mg/L)
0.6430352415	13.6862907410	0.1971946359
0.6430931099	13.6863079071	0.2321019471
0.6431509599	13.6865568161	0.2530302107
0.6432088483	13.6866664886	0.2524336874
0.6432667155	13.6864595413	0.2376088649
start
0.6433245810	13.6865892410	0.2179094255
0.6433824422	13.6865930557	0.1987933218
0.6434403061	13.6864719391	0.1838796586
0.6434981916	13.6863517761	0.1717536151
0.6435560768	13.6864786148	0.1655183434
0.6436139230	13.6864166260	0.1577014029
0.6436717878	13.6862344742	0.1516393125
0.6437296742	13.6863880157	0.1481662989
0.6437875395	13.6864290237	0.1448580623
column
0.6438453993	13.6864290237	0.1423887312
0.6439032939	13.6865501404	0.1386891603
0.6439611330	13.6866302490	0.1359281689
0.6440190009	13.6862754822	0.1341844052
0.6440768874	13.6865835190	0.1327493489
0.6441347602	13.6863965988	0.1317176223
0.6441926263	13.6864242554	0.1307448894
0.6442504773	13.6864824295	0.1300811023
0.6443083572	13.6864967346	0.1295725256
0.6443662261	13.6863794327	0.1291633248
0.6444241002	13.6864709854	0.1285892427
0.6444819670	13.6865777969	0.1282656044
0.6445398235	13.6863451004	0.1279650182
0.6445977018	13.6864738464	0.1274442524
0.6446555651	13.6864957809	0.1273633540
0.6447134409	13.6864442825	0.1271754354
0.6447713286	13.6864271164	0.1269783080
0.6448291773	13.6865596771	0.1267770827
0.6448870580	13.6862220764	0.1264683455
0.6449449369	13.6865005493	0.1262865961
0.6450027804	13.6866521835	0.1263198704
0.6450606552	13.6864976883	0.1261222512
0.6451185317	13.6864709854	0.1262312979
0.6451763957	13.6864547729	0.1262394935
0.6452342636	13.6864738464	0.1264632344
0.6452921585	13.6864833832	0.1265784204
0.6453500079	13.6862497330	0.1268856376
0.6454078813	13.6864433289	0.1272629946
0.6454657667	13.6865520477	0.1276137382
0.6455236286	13.6866083145	0.1282594651
0.6455815085	13.6864032745	0.1290552616
0.6456393863	13.6864910126	0.1302793026
0.6456972390	13.6865177155	0.1312745214
0.6457551230	13.6863422394	0.1336110830
0.6458129959	13.6864871979	0.1376901567
0.6458708773	13.6865568161	0.1425574273
0.6459287318	13.6862220764	0.1489302814
0.6459866139	13.6862440109	0.1556613147
0.6460444920	13.6865901947	0.1653734148
0.6461023546	13.6863231659	0.1777168363
0.6461602351	13.6863889694	0.1948957741
0.6462180960	13.6864948273	0.2208726555
0.6462759711	13.6864910126	0.2593852282
0.6463338529	13.6866035461	0.3230001628
0.6463917300	13.6863489151	0.4099605680
0.6464495928	13.6864767075	0.5301769376
0.6465074531	13.6864480972	0.6458042264
0.6465653455	13.6866636276	0.7760428190
0.6466232201	13.6863012314	0.9011108279
0.6466810738	13.6865444183	1.0445842743
0.6467389510	13.6864328384	1.1770868301
0.6467968226	13.6862392426	1.3222969770
0.6468547220	13.6866073608	1.4592397213
0.6469125911	13.6864385605	1.6154524088
0.6469704509	13.6864576340	1.7692111731
0.6470283198	13.6865367889	1.9233946800
0.6470861878	13.6864233017	2.0757045746
0.6471440508	13.6862878799	2.2280600071
0.6472019444	13.6865482330	2.3880720139
0.6472598037	13.6864690781	2.5456173420
0.6473176888	13.6865148544	2.7160923481
0.6473755758	13.6866264343	2.8774144650
0.6474334171	13.6864156723	3.0628936291
0.6474913091	13.6865310669	3.2332422733
0.6475491684	13.6865959167	3.4156897068
0.6476070498	13.6864624023	3.5709180832
0.6476649143	13.6863727570	3.7543480396
0.6477227889	13.6865348816	3.9253342152
0.6477806664	13.6864652634	4.1107130051
0.6478385296	13.6864433289	4.2629809380
0.6478964040	13.6865053177	4.4398279190
0.6479542835	13.6863403320	4.6083288193
0.6480121616	13.6866264343	4.8054771423
0.6480700297	13.6863555908	4.9887127876
0.6481278930	13.6866540909	5.1606612206
0.6481857609	13.6862945557	5.3319487572
0.6482436632	13.6863880157	5.5130910873
0.6483015034	13.6863565445	5.6934905052
0.6483594006	13.6864080429	5.8517789841
0.6484172514	13.6864128113	6.0179901123
0.6484751322	13.6863803864	6.1806726456
0.6485330118	13.6866521835	6.3568587303
0.6485908810	13.6866254807	6.5139398575
0.6486487668	13.6864910126	6.6698775291
0.6487066174	13.6863555908	6.8160824776
0.6487644890	13.6865301132	6.9850711823
0.6488223646	13.6864194870	7.1364650726
0.6488802421	13.6862659454	7.2875556946
0.6489380992	13.6865501404	7.4234347343
0.6489959735	13.6865081787	7.5891757011
0.6490538436	13.6864643097	7.7358651161
0.6491117167	13.6865224838	7.8948440552
0.6491696052	13.6865119934	8.0243911743
0.6492274533	13.6864404678	8.1685409546
0.6492853237	13.6865005493	8.3103599548
0.6493431910	13.6866369247	8.4583978653
0.6494010713	13.6863632202	8.6026449203
0.6494589436	13.6864509583	8.7332544327
0.6495168364	13.6864404678	8.9004592896
0.6495746854	13.6865301132	9.0466747284
0.6496325507	13.6866168976	9.2047557831
0.6496904303	13.6864156723	9.3347120285
0.6497483096	13.6863565445	9.4992465973
0.6498061637	13.6863412857	9.6546363831
0.6498640478	13.6863803864	9.8190603256
0.6499219076	13.6863718033	9.9428977966
0.6499797743	13.6864938736	10.1077613831
0.6500376616	13.6865386963	10.3243818283
0.6500955173	13.6863555908	10.8597831726
0.6501533874	13.6865081787	11.0435056686
0.6502112509	13.6864881516	11.0579566956
0.6502691338	13.6862268448	11.1903867722
0.6503270086	13.6863422394	11.2741079330
0.6503848658	13.6863260269	11.3639268875
0.6504427468	13.6863632202	11.4527587891
0.6505006212	13.6864805222	11.5291519165
0.6505584914	13.6863670349	11.6371469498
0.6506163808	13.6864967346	11.7514514923
0.6506742392	13.6865978241	11.8663482666
0.6507321087	13.6865329742	11.9652891159
0.6507899669	13.6864824295	12.0614061356
0.6508478483	13.6865892410	12.1827735901
0.6509057050	13.6864175797	12.2960786819
0.6509635739	13.6864604950	12.4147806168
0.6510214588	13.6864185333	12.4978122711
0.6510793226	13.6866359711	12.6079063416
0.6511372004	13.6864013672	12.7171621323
0.6511950765	13.6863174438	12.8386163712
0.6512529349	13.6863355637	12.9414787292
0.6513108070	13.6863117218	13.0363817215
0.6513686832	13.6864900589	13.1317472458
0.6514265439	13.6863679886	13.2508182526
0.6514844258	13.6864099503	13.3498144150
0.6515422787	13.6864814758	13.4431247711
0.6516001695	13.6865491867	13.5336952209
0.6516580228	13.6864910126	13.6476383209
0.6517158988	13.6865873337	13.7549238205
0.6517737722	13.6865997314	13.8594417572
0.6518316344	13.6864461899	13.9304084778
0.6518895175	13.6864891052	14.0216684341
0.6519473852	13.6865816116	14.1188554764
0.6520052574	13.6863021851	14.2175960541
0.6520631257	13.6863965988	14.3021535873
0.6521210165	13.6862850189	14.3835487366
0.6521788794	13.6864032745	14.4874782562
0.6522367316	13.6865873337	14.5879545212
0.6522946085	13.6865701675	14.6869239807
0.6523524976	13.6863708496	14.7588424683
0.6524103567	13.6865482330	14.8540964127
0.6524682275	13.6864919662	14.9464378357
0.6525260973	13.6864576340	15.0540723801
0.6525839608	13.6865501404	15.1265573502
0.6526418477	13.6863031387	15.2052936554
0.6526997066	13.6865539551	15.2976160049
0.6527575630	13.6865673065	15.4035291672
0.6528154568	13.6865530014	15.4867210388
0.6528733230	13.6864881516	15.5632381439
0.6529311918	13.6863489151	15.6413364410
0.6529890684	13.6865158081	15.7284393311
0.6530469249	13.6862630844	15.8221216202
0.6531047835	13.6863508224	15.8946886063
0.6531626535	13.6863756180	15.9663677216
0.6532205302	13.6863927841	16.0552883148
0.6532783880	13.6864042282	16.1445121765
0.6533362658	13.6865482330	16.2310199738
0.6533941354	13.6862726212	16.3026008606
0.6534519983	13.6865425110	16.3738002777
0.6535098865	13.6864814758	16.4669666290
0.6535677391	13.6866130829	16.5454616547
0.6536256131	13.6865730286	16.6195602417
0.6536834880	13.6864719391	16.6778469086
0.6537413623	13.6865739822	16.7543888092
0.6537992234	13.6865110397	16.8322334290
0.6538570915	13.6864957809	16.9172496796
0.6539149642	13.6863889694	16.9632434845
0.6539728409	13.6864194870	17.0351181030
0.6540306977	13.6865415573	17.1122932434
0.6540885847	13.6863002777	17.1941051483
0.6541464380	13.6865968704	17.2627925873
0.6542043111	13.6864938736	17.3277587891
0.6542621885	13.6864204407	17.3960628510
0.6543200512	13.6864347458	17.4777126312
0.6543779229	13.6864366531	17.5504817963
0.6544358007	13.6863870621	17.6106281281
0.6544936655	13.6863670349	17.6741600037
0.6545515325	13.6864566803	17.7473239899
0.6546094044	13.6864566803	17.8331394196
0.6546672713	13.6866159439	17.8996257782
0.6547251390	13.6863527298	17.9671459198
0.6547830157	13.6865129471	18.0386295319
0.6548408968	13.6865568161	18.1182537079
0.6548987526	13.6864728928	18.1909885406
0.6549566200	13.6865167618	18.2620105743
0.6550145028	13.6864299774	18.3161849976
0.6550723698	13.6864461899	18.3908119202
0.6551302269	13.6864833832	18.4601230621
0.6551881024	13.6863632202	18.5342464447
0.6552459750	13.6866626740	18.5846939087
0.6553038396	13.6862897873	18.6535110474
0.6553617118	13.6865339279	18.7241344452
0.6554195845	13.6863899231	18.8038825989
0.6554774536	13.6863937378	18.8608016968
0.6555353242	13.6864957809	18.9296836853
0.6555931989	13.6864700317	19.0222892761
0.6556510776	13.6863460541	19.1045055389
0.6557089259	13.6866922379	19.1850662231
0.6557668126	13.6864061356	19.2421703339
0.6558246926	13.6865777969	19.3100452423
0.6558825370	13.6865444183	19.3846397400
0.6559404101	13.6864528656	19.4597053528
0.6559982751	13.6862430573	19.5174884796
0.6560561556	13.6865968704	19.5684432983
0.6561140090	13.6865377426	19.6242542267
0.6561718999	13.6862030029	19.6946067810
0.6562297568	13.6864490509	19.7506523132
0.6562876350	13.6865863800	19.8045043945
0.6563454996	13.6863031387	19.8549785614
0.6564033657	13.6865177155	19.9264507294
0.6564612459	13.6862926483	19.9881496429
0.6565191136	13.6864652634	20.0482006073
0.6565769773	13.6863956451	20.0902214050
0.6566348422	13.6864032745	20.1411666870
0.6566927258	13.6865367889	20.1998271942
0.6567505898	13.6865196228	20.2659244537
0.6568084802	13.6863870621	20.3056812286
0.6568663216	13.6865167618	20.3507461548
0.6569242217	13.6864395142	20.4173316956
0.6569820760	13.6864500046	20.4768199921
0.6570399378	13.6863203049	20.5434474945
0.6570978101	13.6863365173	20.5764656067
0.6571556818	13.6864681244	20.6199741364
0.6572135571	13.6862659454	20.6715679169
0.6572714426	13.6864376068	20.7337245941
0.6573292952	13.6865892410	20.7615966797
0.6573871722	13.6865243912	20.7996959686
0.6574450336	13.6866397858	20.8515892029
0.6575028949	13.6865272522	20.9065246582
0.6575607857	13.6864185333	20.9552249908
0.6576186376	13.6864519119	21.0018310547
0.6576765062	13.6863555908	21.0464572906
0.6577344061	13.6864500046	21.0974483490
0.6577922611	13.6865797043	21.1593875885
0.6578501192	13.6862564087	21.2023658752
0.6579079890	13.6865797043	21.2369327545
0.6579658734	13.6867303848	21.2891616821
0.6580237450	13.6865243912	21.3527812958
0.6580816010	13.6864852905	21.4126300812
0.6581394677	13.6864671707	21.4436626434
0.6581973451	13.6864862442	21.4879779816
0.6582552374	13.6862668991	21.5415992737
0.6583131105	13.6865062714	21.5894374847
0.6583709931	13.6864709854	21.6299533844
0.6584288386	13.6864480972	21.6643943787
0.6584866932	13.6865024567	21.7226982117
0.6585445608	13.6865148544	21.7646293640
0.6586024451	13.6863899231	21.8309211731
0.6586603262	13.6863613129	21.8713779449
0.6587181792	13.6864452362	21.9218750000
0.6587760486	13.6865930557	21.9654102325
0.6588339258	13.6865186691	22.0305595398
0.6588918018	13.6864681244	22.0843544006
0.6589496553	13.6865205765	22.1258811951
0.6590075231	13.6865921021	22.1711883545
0.6590654153	13.6865234375	22.2351722717
0.6591232786	13.6864128113	22.2862796783
0.6591811366	13.6862573624	22.3209037781
0.6592390167	13.6865739822	22.3597946167
0.6592969067	13.6862812042	22.4172248840
0.6593547673	13.6866540909	22.4821929932
0.6594126302	13.6865262985	22.5393600464
0.6594705202	13.6864290237	22.5919628143
0.6595283577	13.6864376068	22.6396942139
0.6595862560	13.6865434647	22.6976070404
0.6596441225	13.6863498688	22.7602787018
0.6597019723	13.6863679886	22.8223896027
0.6597598503	13.6863622665	22.8585777283
0.6598177142	13.6866436005	22.9084815979
0.6598755946	13.6866502762	22.9615726471
0.6599334569	13.6864967346	23.0182094574
0.6599913403	13.6866493225	23.0444965363
0.6600492223	13.6867246628	23.0857467651
0.6601070889	13.6863784790	23.1229095459
0.6601649407	13.6864595413	23.1836681366
0.6602228221	13.6862611771	23.2262802124
0.6602806768	13.6866312027	23.2518444061
0.6603385504	13.6863451004	23.2910671234
0.6603964312	13.6864414215	23.3466777802
0.6604543111	13.6865282059	23.3993721008
0.6605121875	13.6864442825	23.4278602600
0.6605700371	13.6863079071	23.4716491699
0.6606278995	13.6864757538	23.5075874329
0.6606857812	13.6862907410	23.5569972992
0.6607436638	13.6864576340	23.5995330811
0.6608015118	13.6863098145	23.6379184723
0.6608593788	13.6866931915	23.6770534515
0.6609172535	13.6865501404	23.7200489044
0.6609751279	13.6863727570	23.7637672424
0.6610330056	13.6865491867	23.8023395538
0.6610908788	13.6865577698	23.8335456848
0.6611487247	13.6864852905	23.8789615631
0.6612066027	13.6863250732	23.9298229218
0.6612644693	13.6863899231	23.9927062988
0.6613223379	13.6866312027	24.0369529724
0.6613802250	13.6863517761	24.0931148529
0.6614380749	13.6865072250	24.1397876740
0.6614959747	13.6865816116	24.1968803406
0.6615538238	13.6864385605	24.2305698395
0.6616116850	13.6864862442	24.2638988495
0.6616695603	13.6863641739	24.3058719635
0.6617274327	13.6865453720	24.3399505615
0.6617852977	13.6862888336	24.3814296722
0.6618431891	13.6863288879	24.4105968475
0.6619010433	13.6865701675	24.4557476044
