Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.5894904504	0.1375025660	3.5176293850
0.5895020135	0.1376342922	3.5175681114
0.5895135917	0.1376450509	3.5175631046
0.5895251605	0.1375912428	3.5175881386
0.5895367297	0.1376932263	3.5175406933
0.5895483143	0.1376194209	3.5175750256
0.5895599071	0.1376327574	3.5175688267
0.5895714598	0.1386127919	3.5171129704
0.5895830373	0.1378628910	3.5174617767
0.5895945994	0.1379828304	3.5174059868
0.5896061755	0.1379787326	3.5174078941
0.5896177704	0.1380110234	3.5173928738
0.5896293348	0.1378572434	3.5174643993
0.5896409103	0.1378300786	3.5174770355
0.5896525019	0.1378669888	3.5174598694
0.5896640556	0.1380469054	3.5173761845
0.5896756367	0.1386789083	3.5170822144
0.5896872125	0.1378874928	3.5174503326
0.5896987772	0.1379700154	3.5174119473
0.5897103455	0.1382088661	3.5173008442
0.5897219246	0.1390623450	3.5169038773
0.5897334942	0.1377977878	3.5174920559
0.5897450779	0.1381314695	3.5173368454
0.5897566368	0.1380689442	3.5173659325
0.5897682144	0.1381145567	3.5173447132
0.5897797967	0.1380781680	3.5173616409
0.5897913716	0.1382104009	3.5173001289
0.5898029514	0.1382211745	3.5172951221
0.5898145241	0.1381043047	3.5173494816
0.5898261060	0.1381617188	3.5173227787
0.5898376852	0.1382811368	3.5172672272
0.5898492430	0.1382483393	3.5172824860
0.5898608346	0.1383201033	3.5172491074
0.5898723886	0.1384902745	3.5171699524
start
0.5898839607	0.1383990347	3.5172123909
0.5898955346	0.1384523511	3.5171875954
0.5899071249	0.1382816583	3.5172669888
0.5899186984	0.1384221017	3.5172016621
0.5899302661	0.1383539289	3.5172333717
0.5899418197	0.1381652951	3.5173211098
0.5899534057	0.1383154839	3.5172512531
0.5899649792	0.1384584904	3.5171847343
0.5899765616	0.1384426057	3.5171921253
0.5899881216	0.1384420991	3.5171923637
0.5899997012	0.1384764314	3.5171763897
0.5900112711	0.1393904239	3.5167512894
0.5900228469	0.1408135891	3.5160894394
0.5900344228	0.1409668773	3.5160181522
0.5900460192	0.1453725100	3.5139698982
0.5900575605	0.1488866657	3.5123367310
0.5900691548	0.1514412016	3.5111498833
