Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6383675519	0.1467036456	3.5133512020
0.6383791279	0.1466477364	3.5133771896
0.6383906983	0.1467913687	3.5133104324
0.6384022889	0.1464297175	3.5134785175
0.6384138628	0.1464630514	3.5134630203
0.6384254378	0.1462337524	3.5135695934
0.6384369943	0.1460254937	3.5136663914
0.6384485988	0.1459982991	3.5136790276
0.6384601433	0.1459357291	3.5137081146
0.6384717348	0.1461655349	3.5136013031
0.6384833009	0.1460116357	3.5136728287
0.6384948808	0.1460229307	3.5136675835
0.6385064557	0.1459485441	3.5137021542
0.6385180104	0.1456038505	3.5138623714
0.6385295994	0.1457259208	3.5138056278
0.6385411712	0.1457551718	3.5137920380
0.6385527339	0.1453017294	3.5140028000
0.6385643203	0.1455033123	3.5139091015
0.6385758857	0.1452883929	3.5140089989
0.6385874685	0.1454391927	3.5139389038
0.6385990344	0.1451704204	3.5140638351
0.6386106084	0.1452458203	3.5140287876
0.6386221870	0.1449226886	3.5141789913
0.6386337560	0.1449160129	3.5141820908
0.6386453281	0.1448760182	3.5142006874
0.6386569118	0.1448975503	3.5141906738
0.6386684891	0.1448031813	3.5142345428
0.6386800742	0.1446205825	3.5143194199
0.6386916326	0.1448457539	3.5142147541
0.6387031989	0.1450847685	3.5141036510
0.6387147942	0.1449621767	3.5141606331
0.6387263578	0.1448247284	3.5142245293
0.6387379167	0.1447283030	3.5142693520
0.6387495024	0.1445939243	3.5143318176
0.6387610962	0.1449991018	3.5141434669
0.6387726699	0.1446549594	3.5143034458
0.6387842237	0.1444103122	3.5144171715
start
0.6387957996	0.1442754120	3.5144798756
0.6388073867	0.1443123519	3.5144627094
0.6388189537	0.1444082558	3.5144181252
0.6388305359	0.1442528516	3.5144903660
0.6388420983	0.1441102773	3.5145566463
0.6388536709	0.1441487372	3.5145387650
0.6388652632	0.1441938728	3.5145177841
0.6388768258	0.1443728656	3.5144345760
0.6388883927	0.1440328360	3.5145926476
0.6388999867	0.1439000070	3.5146543980
0.6389115470	0.1440492421	3.5145850182
0.6389231017	0.1436866522	3.5147535801
0.6389346800	0.1439620554	3.5146255493
0.6389462667	0.1437656283	3.5147168636
0.6389578294	0.1433676779	3.5149018764
0.6389694162	0.1437666565	3.5147163868
0.6389810018	0.1442600340	3.5144870281
0.6389925501	0.1435594708	3.5148127079
0.6390041412	0.1435943395	3.5147964954
0.6390157103	0.1445600688	3.5143475533
0.6390272830	0.1435445994	3.5148196220
0.6390388623	0.1433815211	3.5148954391
0.6390504366	0.1433615237	3.5149047375
0.6390620084	0.1434189528	3.5148780346
0.6390735652	0.1432153583	3.5149726868
0.6390851495	0.1435081810	3.5148365498
0.6390967145	0.1432866454	3.5149395466
0.6391083025	0.1435189545	3.5148315430
0.6391198762	0.1435569078	3.5148139000
0.6391314404	0.1434948593	3.5148427486
0.6391430334	0.1433153600	3.5149261951
0.6391545953	0.1430886984	3.5150315762
0.6391661695	0.1428989619	3.5151197910
0.6391777519	0.1428410113	3.5151467323
0.6391893150	0.1431133151	3.5150201321
0.6392008834	0.1428056210	3.5151631832
0.6392124653	0.1433256269	3.5149214268
0.6392240595	0.1434204876	3.5148773193
0.6392356077	0.1428025514	3.5151646137
0.6392471820	0.1426107585	3.5152537823
0.6392587539	0.1427635700	3.5151827335
0.6392703387	0.1428102404	3.5151610374
0.6392819119	0.1430230588	3.5150620937
0.6392934973	0.1427066624	3.5152091980
0.6393050675	0.1426620483	3.5152299404
0.6393166494	0.1428666562	3.5151348114
0.6393282092	0.1426333338	3.5152432919
0.6393397840	0.1427369118	3.5151951313
0.6393513471	0.1426425576	3.5152390003
0.6393629228	0.1427379400	3.5151946545
0.6393744970	0.1426953822	3.5152144432
0.6393860948	0.1424061656	3.5153489113
0.6393976500	0.1426107585	3.5152537823
0.6394092113	0.1426579356	3.5152318478
0.6394208034	0.1427415311	3.5151929855
0.6394323837	0.1428389549	3.5151476860
0.6394439546	0.1425215453	3.5152952671
0.6394555110	0.1427594721	3.5151846409
0.6394671020	0.1425820440	3.5152671337
0.6394786554	0.1425123066	3.5152995586
0.6394902533	0.1424687207	3.5153198242
0.6395018239	0.1429804862	3.5150818825
0.6395133827	0.1429420263	3.5150997639
0.6395249625	0.1424656510	3.5153212547
0.6395365304	0.1426328123	3.5152435303
0.6395481177	0.1426353753	3.5152423382
0.6395596730	0.1429440826	3.5150988102
0.6395712638	0.1427656263	3.5151817799
0.6395828316	0.1429456174	3.5150980949
0.6395944165	0.1433481872	3.5149109364
0.6396059871	0.1439707726	3.5146214962
0.6396175647	0.1451699138	3.5140640736
0.6396291291	0.1467559785	3.5133268833
0.6396407008	0.1487014443	3.5124228001
0.6396522813	0.1544219404	3.5097653866
0.6396638526	0.1602144390	3.5070760250
0.6396754305	0.1655311882	3.5046088696
0.6396870176	0.1712887585	3.5019385815
0.6396985776	0.1717916578	3.5017054081
0.6397101414	0.1719932407	3.5016119480
0.6397217172	0.1756645888	3.4999101162
0.6397332944	0.1829015166	3.4965572357
0.6397448779	0.1927463412	3.4919998646
0.6397564488	0.2010590136	3.4881551266
0.6397680062	0.1994986534	3.4888765812
0.6397795855	0.2024798393	3.4874982834
0.6397911643	0.2067166418	3.4855401516
0.6398027389	0.2190437913	3.4798474312
0.6398143229	0.2678200006	3.4573886395
0.6398258847	0.3283921778	3.4296450615
0.6398374658	0.3940931261	3.3997349739
0.6398490418	0.4439490438	3.3771643639
0.6398606244	0.4856434464	3.3583717346
0.6398721931	0.5002275109	3.3518161774
0.6398837497	0.5860824585	3.3134105206
0.6398953202	0.6408866048	3.2890605927
0.6399069184	0.7099099159	3.2585754395
0.6399184783	0.8132344484	3.2133181095
0.6399300579	1.0007400513	3.1323311329
0.6399416467	0.9435118437	3.1568939686
0.6399532082	0.9238329530	3.1653716564
0.6399647787	1.0189248323	3.1245543957
0.6399763544	1.1134498119	3.0843496323
0.6399879298	1.2400450706	3.0310750008
0.6399995005	1.3124772310	3.0008847713
0.6400110655	1.2196083069	3.0396313667
0.6400226471	1.2677611113	3.0194978714
0.6400342232	1.4214097261	2.9558761120
0.6400457817	1.4779828787	2.9326870441
0.6400573682	1.6313585043	2.8704516888
0.6400689492	1.6686005592	2.8554782867
0.6400805182	1.6006387472	2.8828432560
0.6400920781	1.6213158369	2.8744986057
0.6401036739	1.5082057714	2.9203505516
0.6401152451	1.5612779856	2.8987741470
0.6401268015	1.5897108316	2.8872601986
0.6401383826	1.6098386049	2.8791284561
0.6401499626	1.5756450891	2.8929522038
0.6401615245	1.7484499216	2.8235549927
0.6401731074	1.9437156916	2.7465164661
0.6401846701	2.0030086040	2.7234091759
0.6401962624	2.0737311840	2.6960196495
0.6402078223	2.1134583950	2.6807157993
0.6402194133	2.2736577988	2.6195945740
0.6402309773	2.4351990223	2.5589098930
0.6402425542	2.5148918629	2.5293188095
0.6402541197	2.5468049049	2.5175325871
0.6402656925	2.5533876419	2.5151059628
0.6402772637	2.6209814548	2.4902772903
0.6402888579	2.5879826546	2.5023782253
0.6403004285	2.5767025948	2.5065236092
0.6403120061	2.5991978645	2.4982612133
0.6403235619	2.7436146736	2.4456424713
0.6403351623	2.8161761761	2.4194796085
0.6403467229	2.8027532101	2.4243056774
0.6403582890	2.7473158836	2.4443035126
0.6403698602	2.6310145855	2.4866056442
0.6403814372	2.5337688923	2.5223426819
0.6403930156	2.5192279816	2.5277152061
0.6404045837	2.8069880009	2.4227824211
0.6404161541	2.9232392311	2.3812096119
0.6404277369	3.0371847153	2.3409111500
0.6404393093	3.0722215176	2.3286085129
0.6404508730	3.0826132298	2.3249676228
0.6404624644	3.0624320507	2.3320417404
0.6404740232	3.2268233299	2.2748162746
0.6404856198	3.1967232227	2.2852265835
0.6404971696	3.2384831905	2.2707917690
0.6405087563	3.3464903831	2.2337262630
0.6405203550	3.4196882248	2.2088251114
0.6405319152	3.4453980923	2.2001204491
0.6405434863	3.3745632172	2.2241554260
0.6405550468	3.3541412354	2.2311153412
0.6405666273	3.3939337730	2.2175664902
0.6405781893	3.4124591351	2.2112765312
0.6405897666	3.4398288727	2.2020041943
0.6406013558	3.3334105015	2.2381944656
0.6406129216	3.2448637486	2.2685914040
0.6406245143	3.1923332214	2.2867474556
0.6406360763	3.2590012550	2.2637207508
0.6406476351	3.3865747452	2.2200682163
0.6406592102	3.3980624676	2.2161636353
0.6406707804	3.4591996670	2.1954565048
0.6406823567	3.5501930714	2.1648621559
0.6406939604	3.5645663738	2.1600539684
0.6407055155	3.5242338181	2.1735630035
0.6407170965	3.4444081783	2.2004551888
0.6407286691	3.5175216198	2.1758162975
0.6407402505	3.5532546043	2.1638374329
0.6407518163	3.4661257267	2.1931183338
0.6407633707	3.4176628590	2.2095117569
0.6407749650	3.5299110413	2.1716582775
0.6407865364	3.7088460922	2.1121566296
0.6407981146	3.6727814674	2.1240668297
0.6408096758	3.6097042561	2.1449975967
0.6408212461	3.5967884064	2.1492991447
0.6408328323	3.5508241653	2.1646509171
0.6408444037	3.6354088783	2.1364526749
0.6408559741	3.7017118931	2.1145093441
0.6408675544	3.7221765518	2.1077647209
0.6408791139	3.7229702473	2.1075034142
0.6408906959	3.6731762886	2.1239361763
0.6409022811	3.5940401554	2.1502151489
0.6409138462	3.5348432064	2.1700043678
0.6409254209	3.5175073147	2.1758210659
0.6409369863	3.4956848621	2.1831569672
0.6409485608	3.5597348213	2.1616694927
0.6409601292	3.5210144520	2.1746435165
0.6409717309	3.6267652512	2.1393237114
0.6409832825	3.6347010136	2.1366877556
0.6409948738	3.5562736988	2.1628272533
0.6410064312	3.5325982571	2.1707570553
0.6410180182	3.5294759274	2.1718041897
0.6410295918	3.5241954327	2.1735758781
0.6410411508	3.4398021698	2.2020132542
0.6410527331	3.4473843575	2.1994488239
0.6410643087	3.4645509720	2.1936497688
0.6410759036	3.5550200939	2.1632466316
0.6410874687	3.6137824059	2.1436405182
0.6410990494	3.6819193363	2.1210451126
0.6411106074	3.7332856655	2.1041090488
0.6411221835	3.7564816475	2.0964884758
0.6411337668	3.7413685322	2.1014516354
0.6411453435	3.7063477039	2.1129803658
0.6411569002	3.7257051468	2.1066031456
0.6411684643	3.7833609581	2.0876791477
0.6411800481	3.7907080650	2.0852751732
0.6411916230	3.7548515797	2.0970234871
0.6412031982	3.6877529621	2.1191174984
