Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6181593017	0.1547289491	3.5096228123
0.6181708862	0.1558045596	3.5091233253
0.6181824442	0.1563616544	3.5088646412
0.6181940384	0.1556130499	3.5092122555
0.6182056055	0.1559719443	3.5090456009
0.6182171809	0.1555509269	3.5092411041
0.6182287575	0.1555247307	3.5092532635
0.6182403392	0.1557917297	3.5091292858
0.6182519214	0.1558363885	3.5091085434
0.6182634729	0.1555663198	3.5092339516
0.6182750566	0.1557711810	3.5091388226
0.6182866096	0.1556674689	3.5091869831
0.6182981966	0.1555113941	3.5092594624
0.6183097816	0.1557978839	3.5091264248
0.6183213531	0.1565665454	3.5087695122
0.6183329188	0.1568915844	3.5086185932
0.6183444961	0.1589704305	3.5076534748
0.6183560571	0.1564279050	3.5088338852
0.6183676401	0.1552187353	3.5093953609
0.6183792096	0.1556243449	3.5092070103
0.6183907913	0.1563298255	3.5088794231
0.6184023619	0.1554318070	3.5092964172
0.6184139461	0.1557681113	3.5091402531
0.6184254983	0.1565922201	3.5087575912
start
0.6184370727	0.1633343846	3.5056281090
0.6184486649	0.1693827510	3.5028223991
0.6184602437	0.1785277724	3.4985833168
0.6184718143	0.3212408721	3.4329121113
0.6184834012	0.7670180202	3.2335057259
0.6184949641	1.7822133303	2.8101303577
0.6185065289	3.5674788952	2.1590805054
0.6185180924	5.4466052055	1.5846838951
0.6185296661	5.4886465073	1.5729856491
0.6185412596	6.7166218758	1.2513985634
0.6185528133	6.9991302490	1.1826477051
0.6185644020	6.9562726021	1.1929574013
0.6185759791	6.7711110115	1.2379920483
0.6185875501	6.5660095215	1.2888238430
0.6185991146	6.5025405884	1.3047585487
0.6186106947	6.4335627556	1.3221873045
0.6186222691	6.3576021194	1.3415149450
0.6186338326	6.3053283691	1.3548980951
0.6186454173	6.2690477371	1.3642264605
0.6186570049	6.2278180122	1.3748669624
0.6186685729	6.2021298409	1.3815178871
0.6186801293	6.1871485710	1.3854043484
0.6186917156	6.1535754204	1.3941342831
0.6187032883	6.1382312775	1.3981336355
0.6187148622	6.1054019928	1.4067101479
0.6187264432	6.0815114975	1.4129686356
0.6187380046	6.0480971336	1.4217461348
0.6187496033	6.0360512733	1.4249173403
0.6187611603	6.0236830711	1.4281773567
0.6187727318	5.9798460007	1.4397629499
0.6187842925	5.9535536766	1.4467352629
0.6187958778	5.9387669563	1.4506642818
0.6188074497	5.9229931831	1.4548616409
0.6188190359	5.8863120079	1.4646472931
0.6188305997	5.8447866440	1.4757670164
0.6188421770	5.8145985603	1.4838788509
0.6188537507	5.7868466377	1.4913569689
0.6188653336	5.7665114403	1.4968491793
0.6188769124	5.7443366051	1.5028506517
0.6188884640	5.7242808342	1.5082895756
0.6189000390	5.6870002747	1.5184277296
0.6189116217	5.6528010368	1.5277601480
0.6189231957	5.6407194138	1.5310642719
0.6189347720	5.6264481544	1.5349723101
0.6189463345	5.5871801376	1.5457532406
0.6189579115	5.5849056244	1.5463789701
0.6189694806	5.5787959099	1.5480604172
0.6189810670	5.5451002121	1.5573514700
0.6189926487	5.4990592003	1.5700955391
0.6190042144	5.4821081161	1.5748019218
0.6190157725	5.4724626541	1.5774832964
0.6190273551	5.4602184296	1.5808906555
0.6190389313	5.4379606247	1.5870951414
0.6190505019	5.4159626961	1.5932402611
0.6190620721	5.3659620285	1.6072564125
0.6190736431	5.3629193306	1.6081115007
0.6190852392	5.3437004089	1.6135184765
0.6190968011	5.3020863533	1.6252604723
0.6191083802	5.2639484406	1.6360632181
0.6191199406	5.2300353050	1.6457024813
0.6191315248	5.2241373062	1.6473821402
0.6191431176	5.2031335831	1.6533714533
0.6191546833	5.1724071503	1.6621550322
0.6191662538	5.1640119553	1.6645594835
0.6191778189	5.1418261528	1.6709229946
0.6191894044	5.1141982079	1.6788663864
0.6192009680	5.1109337807	1.6798064709
0.6192125321	5.0904121399	1.6857223511
0.6192241250	5.0634326935	1.6935176849
0.6192357025	5.0348820686	1.7017890215
0.6192472533	4.9964408875	1.7129619122
0.6192588391	4.9553527832	1.7249499559
0.6192704052	4.9485530853	1.7269383669
0.6192819948	4.9321765900	1.7317328453
0.6192935695	4.9052143097	1.7396429777
0.6193051357	4.8939228058	1.7429617643
0.6193167172	4.8929920197	1.7432354689
0.6193282956	4.8406376839	1.7586721182
0.6193398672	4.8215060234	1.7643325329
0.6193514316	4.8061013222	1.7688977718
0.6193630005	4.7898392677	1.7737245560
0.6193745794	4.7598047256	1.7826591730
0.6193861534	4.7329730988	1.7906627655
0.6193977220	4.7049360275	1.7990481853
0.6194093022	4.6731939316	1.8085690737
0.6194208735	4.6618127823	1.8119897842
0.6194324703	4.6302642822	1.8214919567
0.6194440162	4.6063089371	1.8287264109
0.6194555984	4.6059498787	1.8288350105
0.6194671680	4.5944108963	1.8323258162
0.6194787647	4.5707573891	1.8394937515
0.6194903291	4.5456886292	1.8471084833
0.6195018942	4.5226130486	1.8541340828
0.6195134717	4.5058922768	1.8592345715
0.6195250393	4.4869627953	1.8650187254
0.6195366072	4.4721617699	1.8695489168
0.6195481995	4.4488091469	1.8767094612
0.6195597724	4.4426722527	1.8785938025
0.6195713414	4.4143538475	1.8873038292
0.6195829212	4.3988871574	1.8920711279
0.6195944865	4.3839821815	1.8966718912
0.6196060680	4.3591165543	1.9043619633
0.6196176537	4.3276348114	1.9141248465
0.6196292118	4.3046307564	1.9212772846
0.6196407805	4.2986235619	1.9231477976
0.6196523557	4.2779169083	1.9296032190
0.6196639187	4.2630167007	1.9342565536
0.6196755022	4.2448167801	1.9399493933
0.6196870892	4.2270884514	1.9455044270
0.6196986581	4.2148017883	1.9493597746
