Day fraction since midnight on 	pH probe (pH)	pH probe (pH)
0.6123317011	8.1030969620	7.9448509216
0.6123432467	8.1031694412	7.9449253082
0.6123548403	8.1026496887	7.9443941116
0.6123664073	8.1035995483	7.9453644753
0.6123779775	8.1033973694	7.9451580048
0.6123895445	8.1031599045	7.9449157715
0.6124011346	8.1032199860	7.9449768066
0.6124127052	8.1031417847	7.9448966980
0.6124242722	8.1023921967	7.9441308975
0.6124358408	8.1035165787	7.9452800751
0.6124474309	8.1030807495	7.9448351860
0.6124590030	8.1038913727	7.9456634521
0.6124705759	8.1030359268	7.9447884560
0.6124821448	8.1027545929	7.9445014000
0.6124937118	8.1029281616	7.9446783066
0.6125053019	8.1025257111	7.9442672729
0.6125168689	8.1028022766	7.9445500374
0.6125284379	8.1025409698	7.9442825317
0.6125400049	8.1025533676	7.9442954063
0.6125515967	8.1025800705	7.9443225861
start pump
0.6125631654	8.1032800674	7.9450383186
0.6125747365	8.1028146744	7.9445629120
0.6125863055	8.1029510498	7.9447016716
0.6125978956	8.1029653549	7.9447159767
0.6126094626	8.1032295227	7.9449868202
0.6126210296	8.1034097672	7.9451704025
0.6126325966	8.1031303406	7.9448852539
0.6126441911	8.1034688950	7.9452319145
0.6126557628	8.1026611328	7.9444060326
0.6126673298	8.1029129028	7.9446625710
0.6126788968	8.1029644012	7.9447159767
0.6126904885	8.1031904221	7.9449462891
0.6127020597	8.1033201218	7.9450788498
0.6127136322	8.1033563614	7.9451165199
0.6127252049	8.1038208008	7.9455909729
0.6127367802	8.1035346985	7.9452986717
0.6127483385	8.1037054062	7.9454731941
0.6127599324	8.1032037735	7.9449610710
0.6127714994	8.1041994095	7.9459786415
0.6127830663	8.1037569046	7.9455261230
0.6127946564	8.1033201218	7.9450788498
0.6128062234	8.1030492783	7.9448022842
0.6128177904	8.1029338837	7.9446845055
0.6128293689	8.1039123535	7.9456844330
0.6128409382	8.1032581329	7.9450159073
0.6128525052	8.1031332016	7.9448876381
0.6128640782	8.1032867432	7.9450454712
0.6128756700	8.1034698486	7.9452328682
0.6128872370	8.1039886475	7.9457626343
0.6128988040	8.1035919189	7.9453577995
0.6129103941	8.1039600372	7.9457335472
0.6129219648	8.1038770676	7.9456486702
0.6129335317	8.1044445038	7.9462289810
0.6129450987	8.1034593582	7.9452214241
0.6129566912	8.1035375595	7.9453015327
0.6129682623	8.1044206619	7.9462046623
0.6129798293	8.1033697128	7.9451298714
0.6129914002	8.1029615402	7.9447131157
0.6130029902	8.1036596298	7.9454264641
0.6130145594	8.1034698486	7.9452328682
0.6130261263	8.1036872864	7.9454545975
0.6130376979	8.1033916473	7.9451527596
0.6130492690	8.1035270691	7.9452905655
0.6130608476	8.1030483246	7.9448018074
0.6130724145	8.1043300629	7.9461121559
0.6130840047	8.1038560867	7.9456272125
0.6130955716	8.1033849716	7.9451460838
0.6131071643	8.1050548553	7.9468531609
0.6131187313	8.1056079865	7.9474177361
0.6131302982	8.1039581299	7.9457316399
0.6131418652	8.1033916473	7.9451527596
0.6131534322	8.1028833389	7.9446330070
0.6131650241	8.1035289764	7.9452924728
0.6131765795	8.1039075851	7.9456796646
0.6131881696	8.1041612625	7.9459395409
0.6131997366	8.1037254333	7.9454936981
0.6132113036	8.1036653519	7.9454326630
0.6132228937	8.1035594940	7.9453244209
0.6132344628	8.1029644012	7.9447154999
0.6132460297	8.1033601761	7.9451203346
0.6132576198	8.1036014557	7.9453668594
0.6132691918	8.1040401459	7.9458155632
0.6132807615	8.1037015915	7.9454693794
0.6132923284	8.1052274704	7.9470291138
0.6133038954	8.1097660065	7.9516692162
0.6133154855	8.1039228439	7.9456949234
0.6133270548	8.1034650803	7.9452276230
0.6133386217	8.1030788422	7.9448328018
0.6133502119	8.1027555466	7.9445023537
0.6133617788	8.1028022766	7.9445495605
0.6133733458	8.1033353806	7.9450950623
0.6133849359	8.1034488678	7.9452104568
0.6133965046	8.1034183502	7.9451794624
0.6134080735	8.1037435532	7.9455122948
0.6134196422	8.1041889191	7.9459676743
0.6134312112	8.1048250198	7.9466180801
0.6134428052	8.1030178070	7.9447703362
0.6134543778	8.1034231186	7.9451847076
0.6134659506	8.1040239334	7.9457988739
0.6134775175	8.1039800644	7.9457545280
0.6134890869	8.1045398712	7.9463262558
0.6135006770	8.1030368805	7.9447894096
0.6135122440	8.1034460068	7.9452080727
0.6135238341	8.1026611328	7.9444055557
0.6135354011	8.1026535034	7.9443979263
0.6135469681	8.1037216187	7.9454903603
0.6135585350	8.1040935516	7.9458699226
0.6135701020	8.1030302048	7.9447827339
0.6135816921	8.1052036285	7.9470052719
0.6135932635	8.1073112488	7.9491596222
0.6136048305	8.1066789627	7.9485135078
0.6136163975	8.1045179367	7.9463038445
0.6136279901	8.1049470901	7.9467430115
0.6136395570	8.1038827896	7.9456543922
0.6136511288	8.1031169891	7.9448719025
0.6136626958	8.1040477753	7.9458231926
0.6136742859	8.1039056778	7.9456782341
0.6136858569	8.1042985916	7.9460792542
0.6136974302	8.1041994095	7.9459781647
0.6137090203	8.1032047272	7.9449610710
0.6137205641	8.1040363312	7.9458112717
0.6137321543	8.1041526794	7.9459309578
0.6137437212	8.1038990021	7.9456710815
0.6137552997	8.1058120728	7.9476270676
0.6137668667	8.1038608551	7.9456319809
0.6137784337	8.1043958664	7.9461793900
