Day fraction since midnight on 	photometer (V)	photometer (mg/L)
0.6169359606	13.6865615845	0.1641174704
0.6169938309	13.6865034103	0.1562055647
0.6170516919	13.6864328384	0.1507422030
0.6171095743	13.6862459183	0.1463702023
start
0.6171674417	13.6863212585	0.1424179524
0.6172252966	13.6863641739	0.1969147325
0.6172831832	13.6862430573	0.1370156705
0.6173410387	13.6863784790	0.1328774244
0.6173989092	13.6863918304	0.1308089197
0.6174567946	13.6863737106	0.1297287196
0.6175146756	13.6864805222	0.1287613064
0.6175725453	13.6865100861	0.1279332638
0.6176303889	13.6864919662	0.1270643324
0.6176882636	13.6863298416	0.1264156103
0.6177461304	13.6864347458	0.1258396357
0.6178039950	13.6865549088	0.1253025979
0.6178618821	13.6865797043	0.1248649061
0.6179197487	13.6862592697	0.1243197322
0.6179776053	13.6864995956	0.1241661683
column
0.6180354989	13.6866264343	0.1239470840
0.6180933501	13.6863250732	0.1236445755
0.6181512429	13.6864852905	0.1235104650
0.6182090973	13.6863965988	0.1232745051
0.6182669492	13.6863908768	0.1231941506
0.6183248443	13.6862564087	0.1979679167
0.6183827041	13.6864147186	0.1231404096
0.6184405803	13.6864509583	0.1228077263
0.6184984395	13.6863889694	0.1225298122
0.6185563031	13.6865119934	0.1224243864
0.6186141669	13.6863288879	0.1222232506
0.6186720422	13.6863374710	0.1221485287
0.6187299286	13.6863231659	0.1220773906
0.6187877965	13.6863985062	0.1220569238
0.6188456529	13.6863460541	0.1219857857
0.6189035447	13.6864824295	0.1218691021
0.6189613909	13.6865062714	0.1218829155
0.6190192893	13.6863746643	0.1218737066
0.6190771278	13.6864719391	0.1227319762
0.6191350113	13.6866207123	0.1265784204
0.6191928873	13.6865062714	0.1387773305
0.6192507509	13.6862478256	0.1805193573
0.6193086238	13.6864690781	0.4668580592
0.6193664853	13.6866016388	1.2202091217
0.6194243465	13.6861982346	2.4435408115
0.6194822249	13.6864099503	3.9718708992
0.6195400993	13.6865873337	5.9874682426
0.6195979870	13.6862878799	8.2755460739
0.6196558275	13.6863498688	10.9235000610
0.6197136966	13.6864881516	13.6037378311
0.6197715802	13.6864881516	16.3214035034
0.6198294543	13.6864213943	19.0868492126
0.6198873246	13.6863508224	21.7242221832
0.6199451838	13.6865653992	24.3589115143
0.6200030573	13.6864948273	26.6790180206
0.6200609176	13.6864204407	28.9385509491
0.6201187878	13.6865348816	30.8269233704
0.6201766525	13.6865758896	32.7131500244
0.6202345412	13.6864738464	34.2137832642
0.6202924012	13.6862688065	35.7254409790
0.6203502992	13.6863412857	36.8844490051
0.6204081291	13.6864347458	38.1008300781
0.6204660041	13.6864023209	38.9982032776
0.6205238827	13.6863126755	39.8795051575
0.6205817394	13.6864070892	40.5263671875
0.6206396191	13.6863203049	41.2586631775
0.6206974955	13.6863985062	41.8187446594
0.6207553515	13.6866407394	42.3773765564
0.6208132337	13.6863985062	42.7905883789
0.6208711008	13.6864709854	43.1572837830
0.6209289676	13.6865072250	43.5439834595
0.6209868264	13.6862573624	43.8169746399
0.6210447102	13.6865539551	44.0853500366
0.6211025653	13.6865615845	44.2819061279
0.6211604431	13.6863832474	44.5511016846
0.6212183240	13.6865806580	44.7453536987
0.6212762047	13.6866102219	44.9472084045
