Sample Volume (ml)	50.352000 
Titrant normality	0.050000 
Equivalent Volume (ml)	1.733709 
ANC (eq/L)	0.001722 
correlation coefficient	0.999986 

Titrant Volume (ml)	pH	F1
0.000000	7.282920	0.000000
0.200000	7.068805	0.000000
0.400000	6.778466	0.000000
0.600000	6.612680	0.000000
0.800000	6.261557	0.000001
1.000000	6.052885	0.000001
1.200000	5.838944	0.000001
1.400000	5.574133	0.000003
1.600000	5.173184	0.000007
1.800000	4.190054	0.000067
2.000000	3.593742	0.000265
2.200000	3.349555	0.000467
